uid,latitude,longitude,empty_slots,free_bikes,ll
296,19.4208433,-99.1713729,31,4,"19.4208433,-99.1713729"
297,19.420281,-99.174392,22,5,"19.420281,-99.174392"
294,19.424941,-99.17233,15,4,"19.424941,-99.17233"
295,19.428802,-99.164381,38,1,"19.428802,-99.164381"
298,19.423664,-99.172568,22,13,"19.423664,-99.172568"
299,19.424584,-99.163688,10,13,"19.424584,-99.163688"
267,19.42454,-99.173247,14,25,"19.42454,-99.173247"
265,19.42528,-99.171099,18,5,"19.42528,-99.171099"
255,19.437665,-99.164018,26,9,"19.437665,-99.164018"
280,19.427575,-99.17702,19,0,"19.427575,-99.17702"
266,19.434081,-99.162434,7,8,"19.434081,-99.162434"
293,19.441533,-99.165268,19,12,"19.441533,-99.165268"
292,19.4335895,-99.1678193,21,14,"19.4335895,-99.1678193"
291,19.431192,-99.163546,8,7,"19.431192,-99.163546"
273,19.435039,-99.173879,20,3,"19.435039,-99.173879"
233,19.446073,-99.181654,14,5,"19.446073,-99.181654"
304,19.438984,-99.177549,21,10,"19.438984,-99.177549"
303,19.440818,-99.176961,25,2,"19.440818,-99.176961"
305,19.442717,-99.152262,14,25,"19.442717,-99.152262"
311,19.433803,-99.166223,14,5,"19.433803,-99.166223"
309,19.445039,-99.194078,26,1,"19.445039,-99.194078"
307,19.433542,-99.207808,30,9,"19.433542,-99.207808"
313,19.444031,-99.152187,17,38,"19.444031,-99.152187"
312,19.426308,-99.2033,14,8,"19.426308,-99.2033"
301,19.431791,-99.207373,15,8,"19.431791,-99.207373"
316,19.431799,-99.201565,20,3,"19.431799,-99.201565"
314,19.437431,-99.187215,14,5,"19.437431,-99.187215"
324,19.431242,-99.191613,14,5,"19.431242,-99.191613"
302,19.433607,-99.188528,32,3,"19.433607,-99.188528"
317,19.434076,-99.194091,27,0,"19.434076,-99.194091"
315,19.434182,-99.189835,21,2,"19.434182,-99.189835"
321,19.429314,-99.196965,10,5,"19.429314,-99.196965"
118,19.4352787,-99.1477913,8,3,"19.4352787,-99.1477913"
225,19.4351365,-99.1460756,4,15,"19.4351365,-99.1460756"
248,19.434514,-99.138068,0,15,"19.434514,-99.138068"
259,19.432024,-99.139705,18,6,"19.432024,-99.139705"
323,19.431256,-99.158153,8,9,"19.431256,-99.158153"
320,19.432452,-99.15924,17,0,"19.432452,-99.15924"
322,19.428847,-99.201299,32,1,"19.428847,-99.201299"
319,19.436142,-99.200996,22,1,"19.436142,-99.200996"
300,19.42894,-99.185389,10,21,"19.42894,-99.185389"
306,19.440508,-99.193681,20,3,"19.440508,-99.193681"
244,19.43175,-99.177399,19,4,"19.43175,-99.177399"
326,19.440195,-99.200715,27,4,"19.440195,-99.200715"
